userId,drinkid,score,timestamp
1,460,8,964982703
1,10984,8,964981247
1,20577,8,964982224
1,206,10,964983815
1,10652,10,964982931
1,20819,6,964982400
1,30307,10,964980868
1,30072,8,964982176
1,248,10,964984041
1,11045,10,964984100
1,20169,10,964983650
1,30083,10,964981208
1,56,6,964980985
1,11222,10,964981179
1,20685,8,964980908
1,30347,10,964981680
1,278,6,964982967
1,10243,6,964982310
1,21138,10,964981179
1,30205,8,964982563
1,194,8,964980962
1,10179,10,964982588
1,21025,8,964981710
1,30147,6,964982363
1,311,8,964980868
1,11048,10,964981909
1,20439,8,964982346
1,30063,6,964981208
1,43,10,964984002
1,10762,8,964981179
1,20514,8,964982653
1,30332,10,964984153
1,62,8,964982546
1,10117,8,964982271
1,20962,8,964983793
1,30246,10,964982838
1,484,10,964982931
1,10277,6,964982563
1,20806,10,964982838
1,30385,6,964981775
1,259,8,964982400
1,10465,6,964982653
1,20582,6,964984086
1,30130,8,964980499
1,242,10,964982475
1,10271,10,964981529
1,20976,10,964982176
1,30383,8,964983614
1,392,10,964983219
1,10478,6,964981775
1,20236,10,964982681
1,30216,10,964982876
1,416,10,964982791
1,11383,10,964982855
1,20939,6,964982903
1,30327,10,964982653
1,384,10,964982791
1,10476,8,964981179
1,20447,10,964982400
1,30322,8,964980924
1,374,10,964981680
1,10751,10,964981327
1,21049,10,964982951
1,30238,8,964984018
1,93,10,964983484
1,10765,10,964981680
1,20156,8,964982513
1,30159,10,964981327
1,81,10,964981827
1,10512,10,964981872
1,20129,10,964981827
1,30003,10,964983737
1,488,8,964983250
1,10661,10,964980499
1,20328,10,964982951
1,30258,8,964981855
1,44,4,964983393
1,10682,10,964981909
1,20306,10,964981909
1,30052,10,964984018
1,14,10,964983618
1,10721,10,964983723
1,21017,10,964981442
1,30225,6,964983414
1,12,8,964983599
1,10080,10,964983705
1,20462,10,964982290
1,30093,10,964983414
1,150,10,964982703
1,10848,10,964981909
1,20263,10,964984086
1,30203,8,964983393
1,325,6,964982653
1,11583,6,964983017
1,21146,6,964982310
1,30071,6,964984112
1,382,8,964980875
1,11450,8,964980985
1,20120,10,964981107
1,30219,8,964982620
1,1,10,964982290
1,11196,6,964981125
1,20113,10,964982346
1,30083,10,964982951
1,535,8,964983056
1,10226,10,964983504
1,20886,6,964983536
1,30265,6,964982620
1,114,10,964981125
1,10854,8,964981230
1,21047,8,964981404
1,30087,10,964983034
1,197,8,964983056
1,11284,8,964981780
1,20857,10,964981497
1,30141,10,964982176
1,21,8,964981710
1,10107,8,964982211
1,21142,10,964981710
1,30037,8,964984176
1,312,10,964980523
1,11053,8,964981888
1,20891,10,964982903
1,30075,8,964982563
1,443,10,964982791
1,10756,8,964981747
1,20043,10,964982400
1,30077,10,964982838
1,213,10,964982838
1,11250,6,964981710
1,20154,10,964982653
1,30226,8,964982838
1,231,8,964982588
1,10235,8,964981725
1,20563,10,964982529
1,30255,10,964982876
1,483,10,964982791
1,11378,10,964982791
1,21109,10,964982838
1,30273,8,964981725
1,330,10,964981710
1,10136,8,964981680
1,20021,8,964981710
1,30111,4,964981775
1,422,8,964982989
1,11591,8,964982310
1,20025,10,964983664
1,30018,10,964983263
1,500,4,964983546
1,10876,10,964983861
1,20399,8,964982462
1,30386,10,964983123
1,306,4,964983094
1,10295,10,964981093
1,21183,8,964982310
1,30272,6,964982513
1,209,10,964982242
1,10520,8,964982620
1,20359,10,964983414
1,30039,10,964982588
1,488,8,964984169
1,10296,8,965719662
1,20045,10,964981278
1,30160,6,964982328
1,113,10,964982242
1,11262,10,964981265
1,20663,10,964981888
1,30002,10,964983000
1,449,10,964981144
1,10890,8,964983080
1,21132,4,964982588
1,30377,8,964980523
1,313,8,964982377
1,10802,10,964982620
1,20678,8,964983393
1,30351,8,964983414
1,413,10,964983393
1,11383,6,964983426
1,20049,10,964981855
1,30322,10,964980985
1,388,10,964983414
1,10701,10,964982703
1,20431,8,964981710
1,30126,8,964980523
1,507,10,964980868
1,10815,10,964981680
1,20168,10,964982703
1,30248,8,964982290
1,316,10,964981872
1,11479,10,964982176
1,20748,10,964982191
1,30315,10,964981888
1,513,10,964983282
1,11593,8,964983034
1,20786,10,964982495
1,30283,10,964982271
1,441,10,964982242
1,11461,8,964980896
1,20793,10,964983762
1,30323,10,964982791
1,524,10,964981208
1,10163,10,964984086
1,20527,8,964981872
1,30382,10,964983873
1,314,8,964982495
1,10017,2,964983504
1,20364,6,964981093
1,30386,6,964983108
1,447,10,964981107
1,11051,10,964983536
1,20404,10,964983484
1,30236,8,964981799
1,495,8,964981799
1,10716,10,964982328
